n_crash_reports,contains_fatality_words,contains_pedestrian_words,year,day_of_week,hour,day,weekday,month,is_weekend,day_part,distance_to_nairobi,contains_vehicle_words,severity_index,local_crash_density,season,fatality_mention_ratio
1,0,0,2018.0,Friday,5.0,6.0,4.0,4.0,0,morning,14.34048871531404,0,0,410,transitional,0.05774016923842708
1,0,0,2018.0,Friday,6.0,6.0,4.0,4.0,0,morning,2.8783079192096848,0,0,7795,transitional,0.05774016923842708
1,0,0,2018.0,Friday,11.0,6.0,4.0,4.0,0,morning,6.725590416396591,0,0,4438,transitional,0.05774016923842708
1,0,0,2018.0,Friday,12.0,6.0,4.0,4.0,0,afternoon,1.183542965050672,0,0,8467,transitional,0.056882327399044724
1,0,0,2018.0,Friday,14.0,6.0,4.0,4.0,0,afternoon,4.395267649943585,0,0,6411,transitional,0.056882327399044724
1,0,0,2018.0,Friday,19.0,6.0,4.0,4.0,0,evening,2.0386821756028937,0,0,8118,transitional,0.05424886191198786
1,0,0,2018.0,Sunday,7.0,6.0,6.0,5.0,1,morning,4.630755675045313,0,0,5325,transitional,0.05774016923842708
1,0,0,2018.0,Sunday,9.0,6.0,6.0,5.0,1,morning,14.475427125234807,0,0,2004,transitional,0.05774016923842708
1,0,0,2018.0,Sunday,11.0,6.0,6.0,5.0,1,morning,12.441814681499906,0,0,2299,transitional,0.05774016923842708
1,0,0,2018.0,Sunday,15.0,6.0,6.0,5.0,1,afternoon,4.713272931155311,0,0,5229,transitional,0.056882327399044724
1,0,0,2018.0,Sunday,18.0,6.0,6.0,5.0,1,evening,6.00102305937962,0,0,4696,transitional,0.05424886191198786
1,0,0,2018.0,Sunday,19.0,6.0,6.0,5.0,1,evening,10.475106355022618,0,0,381,transitional,0.05424886191198786
1,0,0,2018.0,Sunday,20.0,6.0,6.0,5.0,1,evening,7.562742802540889,0,0,2538,transitional,0.05424886191198786
1,0,0,2018.0,Sunday,21.0,6.0,6.0,5.0,1,night,0.9274696355758426,0,0,8417,transitional,0.06271862534519791
1,1,0,2018.0,Sunday,23.0,6.0,6.0,5.0,1,night,18.053491092421794,0,1,1577,transitional,0.06271862534519791
1,0,0,2018.0,Wednesday,3.0,6.0,2.0,6.0,0,night,19.61717576407131,0,0,241,dry,0.06271862534519791
